,Name,Ticker,Industry,Sector,Market Cap,Strike,Option Price,Exp. Date,Option Volume,Stock Price,Ex. Div Date,Num Divs.,Div/share,Div Inc,Gain/Loss Exercise,Total Income,Return,Annual Return
0,Asset Acceptance Capital Corp.,AACC,Finance Companies,Finance,152004254.47999999,5.0,0.25,2 - 2013,100.0,4.9400000000000004,7 - 17,1.0,0.0,0.0,0.059999999999999609,0.25,0.050607287449392711,0.60728744939271251
1,Asset Acceptance Capital Corp.,AACC,Finance Companies,Finance,152004254.47999999,7.5,0.69999999999999996,2 - 2013,14.0,4.9400000000000004,7 - 17,1.0,0.0,0.0,2.5599999999999996,0.69999999999999996,0.14170040485829957,1.7004048582995948
2,Asset Acceptance Capital Corp.,AACC,Finance Companies,Finance,152004254.47999999,10.0,0.20000000000000001,2 - 2013,1.0,4.9400000000000004,7 - 17,1.0,0.0,0.0,5.0599999999999996,0.20000000000000001,0.04048582995951417,0.48582995951417007
27,Apple Inc.,AAPL,Computer Manufacturing,Technology,423036879389.0,445.0,21.449999999999999,3 - 2013,496,450.5,11 - 7,1.0,0.053,0.053,-5.5,16.003,0.035522752497225307,0.21313651498335184
28,Apple Inc.,AAPL,Computer Manufacturing,Technology,423036879389.0,450.0,18.82,3 - 2013,"2,441",450.5,11 - 7,1.0,0.053,0.053,-0.5,18.373000000000001,0.040783573806881246,0.24470144284128748
29,Apple Inc.,AAPL,Computer Manufacturing,Technology,423036879389.0,455.0,16.800000000000001,3 - 2013,"1,619",450.5,11 - 7,1.0,0.053,0.053,4.5,16.853000000000002,0.037409544950055496,0.22445726970033297
30,Apple Inc.,AAPL,Computer Manufacturing,Technology,423036879389.0,460.0,14.699999999999999,3 - 2013,"3,562",450.5,11 - 7,1.0,0.053,0.053,9.5,14.753,0.032748057713651496,0.19648834628190898
31,Apple Inc.,AAPL,Computer Manufacturing,Technology,423036879389.0,465.0,12.75,3 - 2013,"2,961",450.5,11 - 7,1.0,0.053,0.053,14.5,12.803000000000001,0.028419533851276362,0.17051720310765817
6,Apple Inc.,AAPL,Computer Manufacturing,Technology,423036879389.0,445.0,32.0,5 - 2013,22,450.5,11 - 7,1.0,0.053,0.053,-5.5,26.553000000000001,0.05894117647058824,0.17682352941176471
7,Apple Inc.,AAPL,Computer Manufacturing,Technology,423036879389.0,450.0,28.859999999999999,5 - 2013,400,450.5,11 - 7,1.0,0.053,0.053,-0.5,28.413,0.063069922308546064,0.18920976692563818
8,Apple Inc.,AAPL,Computer Manufacturing,Technology,423036879389.0,460.0,24.449999999999999,5 - 2013,527,450.5,11 - 7,1.0,0.053,0.053,9.5,24.503,0.05439067702552719,0.16317203107658157
9,Apple Inc.,AAPL,Computer Manufacturing,Technology,423036879389.0,470.0,20.600000000000001,5 - 2013,221,450.5,11 - 7,1.0,0.053,0.053,19.5,20.653000000000002,0.045844617092119871,0.13753385127635961
10,Apple Inc.,AAPL,Computer Manufacturing,Technology,423036879389.0,475.0,18.579999999999998,5 - 2013,330,450.5,11 - 7,1.0,0.053,0.053,24.5,18.632999999999999,0.041360710321864592,0.12408213096559378
27,Apple Inc.,AAPL,Computer Manufacturing,Technology,423036879389.0,445.0,34.039999999999999,6 - 2013,127,450.5,11 - 7,1.0,0.053,0.053,-5.5,28.593,0.06346947835738069,0.15232674805771365
28,Apple Inc.,AAPL,Computer Manufacturing,Technology,423036879389.0,450.0,31.300000000000001,6 - 2013,631,450.5,11 - 7,1.0,0.053,0.053,-0.5,30.853000000000002,0.068486126526082131,0.16436670366259712
29,Apple Inc.,AAPL,Computer Manufacturing,Technology,423036879389.0,455.0,28.82,6 - 2013,963,450.5,11 - 7,1.0,0.053,0.053,4.5,28.873000000000001,0.064091009988901229,0.15381842397336296
30,Apple Inc.,AAPL,Computer Manufacturing,Technology,423036879389.0,460.0,26.609999999999999,6 - 2013,"1,575",450.5,11 - 7,1.0,0.053,0.053,9.5,26.663,0.059185349611542731,0.14204483906770254
31,Apple Inc.,AAPL,Computer Manufacturing,Technology,423036879389.0,465.0,24.879999999999999,6 - 2013,912,450.5,11 - 7,1.0,0.053,0.053,14.5,24.933,0.055345172031076584,0.1328284128745838
0,Atlas Air Worldwide Holdings,AAWW,Transportation Services,Transportation,1240726251.72,52.5,0.29999999999999999,3 - 2013,10.0,46.920000000000002,None,None,None,None,5.5799999999999983,0.29999999999999999,0.0063938618925831201,0.038363171355498722
1,Atlas Air Worldwide Holdings,AAWW,Transportation Services,Transportation,1240726251.72,42.5,4.0999999999999996,5 - 2013,44,46.920000000000002,None,None,None,None,-4.4200000000000017,-0.32000000000000206,-0.0068201193520887049,-0.020460358056266115
2,Atlas Air Worldwide Holdings,AAWW,Transportation Services,Transportation,1240726251.72,45.0,5.2000000000000002,5 - 2013,5,46.920000000000002,None,None,None,None,-1.9200000000000017,3.2799999999999985,0.06990622335890874,0.20971867007672623
3,Atlas Air Worldwide Holdings,AAWW,Transportation Services,Transportation,1240726251.72,47.5,3.7999999999999998,5 - 2013,5,46.920000000000002,None,None,None,None,0.57999999999999829,3.7999999999999998,0.080988917306052843,0.24296675191815853
4,Atlas Air Worldwide Holdings,AAWW,Transportation Services,Transportation,1240726251.72,50.0,2.7000000000000002,5 - 2013,5,46.920000000000002,None,None,None,None,3.0799999999999983,2.7000000000000002,0.057544757033248087,0.17263427109974427
5,Atlas Air Worldwide Holdings,AAWW,Transportation Services,Transportation,1240726251.72,52.5,1.7,5 - 2013,5,46.920000000000002,None,None,None,None,5.5799999999999983,1.7,0.036231884057971009,0.10869565217391303
0,iShares MSCI All Country Asia ex Japan Index Fund,AAXJ,n/a,n/a,2365740000.0,62.0,1.7,6 - 2013,30.0,60.659999999999997,12 - 18,1.0,0.01049,0.01049,1.3400000000000034,1.7104900000000001,0.028197988789976924,0.067675173095944618
1,iShares MSCI All Country Asia ex Japan Index Fund,AAXJ,n/a,n/a,2365740000.0,63.0,1.3500000000000001,6 - 2013,10.0,60.659999999999997,12 - 18,1.0,0.01049,0.01049,2.3400000000000034,1.36049,0.022428123969666997,0.053827497527200792
2,iShares MSCI All Country Asia ex Japan Index Fund,AAXJ,n/a,n/a,2365740000.0,66.0,0.45000000000000001,6 - 2013,6.0,60.659999999999997,12 - 18,1.0,0.01049,0.01049,5.3400000000000034,0.46049000000000001,0.0075913287174414774,0.018219188921859544
1,"ABAXIS, Inc.",ABAX,Industrial Machinery/Components,Capital Goods,886780000.0,39.0,2.3500000000000001,5 - 2013,1.0,40.399999999999999,12 - 13,1.0,0.01,0.01,-1.3999999999999986,0.96000000000000152,0.023762376237623801,0.071287128712871406
2,"ABAXIS, Inc.",ABAX,Industrial Machinery/Components,Capital Goods,886780000.0,40.0,2.3500000000000001,5 - 2013,2.0,40.399999999999999,12 - 13,1.0,0.01,0.01,-0.39999999999999858,1.9600000000000015,0.048514851485148551,0.14554455445544565
3,"ABAXIS, Inc.",ABAX,Industrial Machinery/Components,Capital Goods,886780000.0,44.0,1.3999999999999999,5 - 2013,10.0,40.399999999999999,12 - 13,1.0,0.01,0.01,3.6000000000000014,1.4099999999999999,0.034900990099009897,0.10470297029702968
4,"ABAXIS, Inc.",ABAX,Industrial Machinery/Components,Capital Goods,886780000.0,54.0,0.29999999999999999,5 - 2013,0.0,40.399999999999999,12 - 13,1.0,0.01,0.01,13.600000000000001,0.31,0.0076732673267326731,0.023019801980198019
0,The Advisory Board Company,ABCO,Other Consumer Services,Consumer Services,1869332808.75,45.0,4.7999999999999998,3 - 2013,10.0,53.670000000000002,None,None,None,None,-8.6700000000000017,-3.8700000000000019,-0.072107322526551179,-0.4326439351593071
1,The Advisory Board Company,ABCO,Other Consumer Services,Consumer Services,1869332808.75,50.0,2.3500000000000001,3 - 2013,2.0,53.670000000000002,None,None,None,None,-3.6700000000000017,-1.3200000000000016,-0.024594745667970964,-0.1475684740078258
2,The Advisory Board Company,ABCO,Other Consumer Services,Consumer Services,1869332808.75,55.0,0.84999999999999998,3 - 2013,10.0,53.670000000000002,None,None,None,None,1.3299999999999983,0.84999999999999998,0.015837525619526737,0.095025153717160415
0,The Advisory Board Company,ABCO,Other Consumer Services,Consumer Services,1869332808.75,45.0,3.2999999999999998,6 - 2013,82.0,53.670000000000002,None,None,None,None,-8.6700000000000017,-5.3700000000000019,-0.10005589714924543,-0.24013415315818901
1,The Advisory Board Company,ABCO,Other Consumer Services,Consumer Services,1869332808.75,50.0,0.75,6 - 2013,2.0,53.670000000000002,None,None,None,None,-3.6700000000000017,-2.9200000000000017,-0.054406558598844822,-0.13057574063722757
2,The Advisory Board Company,ABCO,Other Consumer Services,Consumer Services,1869332808.75,55.0,0.25,6 - 2013,10.0,53.670000000000002,None,None,None,None,1.3299999999999983,0.25,0.0046580957704490406,0.011179429849077696
3,The Advisory Board Company,ABCO,Other Consumer Services,Consumer Services,1869332808.75,60.0,0.29999999999999999,6 - 2013,10.0,53.670000000000002,None,None,None,None,6.3299999999999983,0.29999999999999999,0.0055897149245388482,0.013415315818893235
0,Arkansas Best Corporation,ABFS,Trucking Freight/Courier Services,Transportation,280247704.48000002,7.5,3.4700000000000002,3 - 2013,60.0,10.94,11 - 2,1.0,0.0012,0.0012,-3.4399999999999995,0.031200000000000561,0.0028519195612431956,0.017111517367459174
1,Arkansas Best Corporation,ABFS,Trucking Freight/Courier Services,Transportation,280247704.48000002,10.0,1.3999999999999999,3 - 2013,990.0,10.94,11 - 2,1.0,0.0012,0.0012,-0.9399999999999995,0.46120000000000039,0.042157221206581393,0.25294332723948837
2,Arkansas Best Corporation,ABFS,Trucking Freight/Courier Services,Transportation,280247704.48000002,12.5,0.34999999999999998,3 - 2013,100.0,10.94,11 - 2,1.0,0.0012,0.0012,1.5600000000000005,0.35119999999999996,0.032102376599634365,0.1926142595978062
3,Arkansas Best Corporation,ABFS,Trucking Freight/Courier Services,Transportation,280247704.48000002,15.0,0.5,3 - 2013,0.0,10.94,11 - 2,1.0,0.0012,0.0012,4.0600000000000005,0.50119999999999998,0.045813528336380256,0.27488117001828155
