,Name,Ticker,Industry,Sector,Market Cap,Strike,Option Price,Exp. Date,Option Volume,Stock Price,Ex. Div Date,Num Divs.,Div/share,Div Inc,Gain/Loss Exercise,Total Income,Return,Annual Return
10,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,3973408071.8400002,60.0,10.35,2 - 2013,362.0,69.659999999999997,None,None,None,None,-9.6599999999999966,0.69000000000000306,0.0099052540913006481,0.11886304909560777
11,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,3973408071.8400002,65.0,6.2999999999999998,2 - 2013,606.0,69.659999999999997,None,None,None,None,-4.6599999999999966,1.6400000000000032,0.023542922767729017,0.28251507321274821
12,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,3973408071.8400002,70.0,3.3999999999999999,2 - 2013,882.0,69.659999999999997,None,None,None,None,0.34000000000000341,3.3999999999999999,0.048808498420901521,0.58570198105081828
13,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,3973408071.8400002,75.0,1.75,2 - 2013,824.0,69.659999999999997,None,None,None,None,5.3400000000000034,1.75,0.025122021246052256,0.30146425495262708
14,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,3973408071.8400002,80.0,0.71999999999999997,2 - 2013,775.0,69.659999999999997,None,None,None,None,10.340000000000003,0.71999999999999997,0.010335917312661499,0.12403100775193798
4,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,3973408071.8400002,60.0,12.0,3 - 2013,18.0,69.659999999999997,None,None,None,None,-9.6599999999999966,2.3400000000000034,0.033591731266149921,0.20155038759689953
5,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,3973408071.8400002,65.0,8.6999999999999993,3 - 2013,77.0,69.659999999999997,None,None,None,None,-4.6599999999999966,4.0400000000000027,0.057995980476600671,0.34797588285960401
6,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,3973408071.8400002,70.0,5.9900000000000002,3 - 2013,189.0,69.659999999999997,None,None,None,None,0.34000000000000341,5.9900000000000002,0.085989089865058863,0.51593453919035315
7,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,3973408071.8400002,75.0,4.0,3 - 2013,159.0,69.659999999999997,None,None,None,None,5.3400000000000034,4.0,0.057421762848119437,0.34453057708871659
8,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,3973408071.8400002,80.0,2.6200000000000001,3 - 2013,273.0,69.659999999999997,None,None,None,None,10.340000000000003,2.6200000000000001,0.037611254665518234,0.22566752799310941
8,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,3973408071.8400002,60.0,13.5,5 - 2013,43.0,69.659999999999997,None,None,None,None,-9.6599999999999966,3.8400000000000034,0.055124892334194708,0.16537467700258413
9,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,3973408071.8400002,65.0,10.449999999999999,5 - 2013,143.0,69.659999999999997,None,None,None,None,-4.6599999999999966,5.7900000000000027,0.083118001722652934,0.2493540051679588
10,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,3973408071.8400002,70.0,7.9699999999999998,5 - 2013,406.0,69.659999999999997,None,None,None,None,0.34000000000000341,7.9699999999999998,0.11441286247487797,0.34323858742463392
11,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,3973408071.8400002,75.0,5.9900000000000002,5 - 2013,168.0,69.659999999999997,None,None,None,None,5.3400000000000034,5.9900000000000002,0.085989089865058863,0.25796726959517657
12,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,3973408071.8400002,80.0,4.3200000000000003,5 - 2013,57.0,69.659999999999997,None,None,None,None,10.340000000000003,4.3200000000000003,0.062015503875968998,0.186046511627907
1,3M Company,MMM,Medical/Dental Instruments,Health Care,68964790478.259995,95.0,4.9000000000000004,3 - 2013,1.0,99.670000000000002,11 - 20,1.0,0.0236,0.0236,-4.6700000000000017,0.25359999999999872,0.0025443965084779646,0.015266379050867787
2,3M Company,MMM,Medical/Dental Instruments,Health Care,68964790478.259995,97.5,2.9100000000000001,3 - 2013,734.0,99.670000000000002,11 - 20,1.0,0.0236,0.0236,-2.1700000000000017,0.7635999999999985,0.0076612822313634841,0.045967693388180908
3,3M Company,MMM,Medical/Dental Instruments,Health Care,68964790478.259995,100.0,1.28,3 - 2013,329.0,99.670000000000002,11 - 20,1.0,0.0236,0.0236,0.32999999999999829,1.3036000000000001,0.013079161232065819,0.078474967392394915
4,3M Company,MMM,Medical/Dental Instruments,Health Care,68964790478.259995,105.0,0.12,3 - 2013,432.0,99.670000000000002,11 - 20,1.0,0.0236,0.0236,5.3299999999999983,0.14360000000000001,0.0014407544898163941,0.0086445269388983649
8,3M Company,MMM,Medical/Dental Instruments,Health Care,68964790478.259995,95.0,5.4500000000000002,4 - 2013,163.0,99.670000000000002,11 - 20,1.0,0.0236,0.0236,-4.6700000000000017,0.80359999999999854,0.008062606601785878,0.032250426407143512
9,3M Company,MMM,Medical/Dental Instruments,Health Care,68964790478.259995,97.5,3.5499999999999998,4 - 2013,147.0,99.670000000000002,11 - 20,1.0,0.0236,0.0236,-2.1700000000000017,1.4035999999999982,0.014082472158121783,0.056329888632487134
10,3M Company,MMM,Medical/Dental Instruments,Health Care,68964790478.259995,100.0,2.0099999999999998,4 - 2013,179.0,99.670000000000002,11 - 20,1.0,0.0236,0.0236,0.32999999999999829,2.0335999999999999,0.020403330992274503,0.081613323969098012
11,3M Company,MMM,Medical/Dental Instruments,Health Care,68964790478.259995,105.0,0.37,4 - 2013,11.0,99.670000000000002,11 - 20,1.0,0.0236,0.0236,5.3299999999999983,0.39360000000000001,0.0039490318049563563,0.015796127219825425
12,3M Company,MMM,Medical/Dental Instruments,Health Care,68964790478.259995,110.0,0.040000000000000001,4 - 2013,1.0,99.670000000000002,11 - 20,1.0,0.0236,0.0236,10.329999999999998,0.063600000000000004,0.00063810574897160634,0.0025524229958864253
7,3M Company,MMM,Medical/Dental Instruments,Health Care,68964790478.259995,95.0,6.3499999999999996,7 - 2013,28.0,99.670000000000002,11 - 20,1.0,0.0236,0.0236,-4.6700000000000017,1.703599999999998,0.017092404936289735,0.034184809872579471
8,3M Company,MMM,Medical/Dental Instruments,Health Care,68964790478.259995,97.5,4.3499999999999996,7 - 2013,31.0,99.670000000000002,11 - 20,1.0,0.0236,0.0236,-2.1700000000000017,2.203599999999998,0.02210895956656966,0.04421791913313932
9,3M Company,MMM,Medical/Dental Instruments,Health Care,68964790478.259995,100.0,3.0,7 - 2013,996.0,99.670000000000002,11 - 20,1.0,0.0236,0.0236,0.32999999999999829,3.0236000000000001,0.030336109160228754,0.060672218320457508
10,3M Company,MMM,Medical/Dental Instruments,Health Care,68964790478.259995,105.0,1.25,7 - 2013,171.0,99.670000000000002,11 - 20,1.0,0.0236,0.0236,5.3299999999999983,1.2736000000000001,0.012778167954249022,0.025556335908498044
11,3M Company,MMM,Medical/Dental Instruments,Health Care,68964790478.259995,110.0,0.34999999999999998,7 - 2013,68.0,99.670000000000002,11 - 20,1.0,0.0236,0.0236,10.329999999999998,0.37359999999999999,0.0037483696197451589,0.0074967392394903179
0,7 Days Group Holdings Limited,SVN,Hotels/Resorts,Consumer Services,615220698.40999997,10.0,2.0,5 - 2013,50.0,12.31,None,None,None,None,-2.3100000000000005,-0.3100000000000005,-0.025182778229082086,-0.075548334687246255
1,7 Days Group Holdings Limited,SVN,Hotels/Resorts,Consumer Services,615220698.40999997,12.5,0.45000000000000001,5 - 2013,10.0,12.31,None,None,None,None,0.1899999999999995,0.45000000000000001,0.036555645816409424,0.10966693744922827
2,AAR Corp.,AIR,Aerospace,Capital Goods,794690876.98000002,17.5,1.76,5 - 2013,3.0,20.02,10 - 18,1.0,0.0022500000000000003,0.0022500000000000003,-2.5199999999999996,-0.75774999999999948,-0.037849650349650321,-0.11354895104895096
3,AAR Corp.,AIR,Aerospace,Capital Goods,794690876.98000002,20.0,1.3,5 - 2013,4.0,20.02,10 - 18,1.0,0.0022500000000000003,0.0022500000000000003,-0.019999999999999574,1.2822500000000006,0.064048451548451582,0.19214535464535476
4,AAR Corp.,AIR,Aerospace,Capital Goods,794690876.98000002,22.5,0.5,5 - 2013,6.0,20.02,10 - 18,1.0,0.0022500000000000003,0.0022500000000000003,2.4800000000000004,0.50224999999999997,0.025087412587412587,0.075262237762237755
