Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
SHLM,"A. Schulman, Inc.",21.58,636998440,n/a,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
ADES,"ADA-ES, Inc.",22.99,229991960,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
AEM,Agnico-Eagle Mines Limited,43.16,7388733040,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem
AGU,Agrium Inc.,96.79,15292820000,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu
APD,"Air Products and Chemicals, Inc.",81.26,17180964320,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd
AKS,AK Steel Holding Corporation,4.95,547286850,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks
AIN,Albany International Corporation,18.65,524176900,n/a,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,58.12,5201507520,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb
AXX,Alderon Iron Ore Corp.,2.35,199087300,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axx
AXU,Alexco Resource Corp,4.2,251739600,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu
ATI,Allegheny Technologies Incorporated,30.19,3233620710,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/ati
ANV,Allied Nevada Gold Corp,25.43,2286029850,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/anv
AAU,"Almaden Minerals, Ltd.",2.07,122382540,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aau
ALTI,Altair Nanotechnologies Inc.,0.465,32295180,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alti
ACH,Aluminum Corporation of China Ltd,10.24,99778560,n/a,1993,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/ach
ACO,Amcol International Corporation,31.7,1010976400,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/aco
AMRC,"Ameresco, Inc.",12.26,324791920,n/a,2010,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/amrc
APFC,American Pacific Corporation,10.49,79933800,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apfc
AVD,American Vanguard Corporation,23.9,665304300,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/avd
AMWD,American Woodmark Corporation,17.87,256970600,n/a,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd
AMRS,"Amyris, Inc.",3.4,191484600,n/a,1992,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs
AU,AngloGold Ashanti Ltd.,34.76,5391345520,n/a,1987,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/au
BRD,Apollo Gold Corporation,0.825,166253175,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/brd
MT,ArcelorMittal,15.77,1243133330,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/mt
AGX,"Argan, Inc.",15.54,212245320,n/a,n/a,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/agx
APWC,Asia Pacific Wire & Cable Corporation Limited,2.9467,40755807.7,n/a,n/a,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/apwc
ATL,Atlatsa Resources Corporation,0.17,34320960,n/a,1986,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/atl
ATMI,ATMI Inc.,18.99,606198780,n/a,1993,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/atmi
AZC,Augusta Resource Corporation,1.75,250530000,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/azc
AUQ,AuRico Gold Inc.,6.56,1848352160,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/auq
AZK,"Aurizon Mines, Ltd.",4.75,774592000,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/azk
ASM,Avino Silver,1.26,34105680,n/a,1992,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/asm
BCPC,Balchem Corporation,33.75,987626250,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/bcpc
BAA,BANRO CORPORATION,4.04,810024040,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/baa
ABX,Barrick Gold Corporation,32.35,32382350000,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/abx
BDC,Belden Inc,33.81,1538794530,n/a,n/a,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/bdc
BHP,BHP Billiton Limited,66.99,7377541710,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/bhp
BIOF,BioFuel Energy Corp.,2.69,285573090,n/a,2007,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/biof
BRP,Brookfield Residential Properties Inc.,11.38,1153283340,n/a,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/brp
BKI,"Buckeye Technologies, Inc.",30.6,1205854200,n/a,1973,Basic Industries,Paper,http://www.nasdaq.com/symbol/bki
CBT,Cabot Corporation,38.48,2439632000,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cbt
CCC,Calgon Carbon Corporation,14.32,815180320,n/a,1986,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ccc
CCJ,Cameco Corporation,21.98,8676495100,n/a,1996,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ccj
CDY,Cardero Resource Corporation,0.9,82366200,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/cdy
CSL,Carlisle Companies Incorporated,50.82,3157090860,n/a,n/a,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/csl
CRS,Carpenter Technology Corporation,46.74,2446698780,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/crs
CAS,Castle (A.M.) & Co.,8.66,199708260,n/a,n/a,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/cas
CVCO,"Cavco Industries, Inc.",48.56,334626960,n/a,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/cvco
CE,Celanese Corporation,38.19,6080802750,n/a,1984,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ce
CENX,Century Aluminum Company,6.1,539545000,n/a,1996,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/cenx
CERP,"Cereplast, Inc.",0.39,7378410,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cerp
CF,"CF Industries Holdings, Inc.",200.29,13146635020,n/a,2005,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/cf
CHMT,Chemtura Corp.,13.3,1312710000,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/chmt
CBI,Chicago Bridge & Iron Company N.V.,40.7,3936626100,n/a,1997,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/cbi
CADC,"China Advanced Construction Materials Group, Inc.",0.53,9449370,n/a,n/a,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/cadc
CGA,"China Green Agriculture, Inc.",3.88,104802680,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/cga
CHLN,"China Housing & Land Development, Inc.",1.4989,52082278.3,n/a,1984,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/chln
CHNR,"China Natural Resources, Inc.",4.8,119572800,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/chnr
CPSL,"China Precision Steel, Inc.",0.25,11640750,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/cpsl
SHZ,"China Shen Zhou Mining & Resources, Inc.",0.662,25386376,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/shz
CHD,"Church & Dwight Company, Inc.",57.68,8011809680,n/a,n/a,Basic Industries,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/chd
CGR,"Claude Resources, Inc.",0.6499,106993037,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/cgr
CLH,"Clean Harbors, Inc.",61.31,3267639070,n/a,1997,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/clh
CLW,Clearwater Paper Corporation,35.06,819737860,n/a,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/clw
CLF,Cliffs Natural Resources Inc.,39.39,5612247810,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/clf
CDXS,"Codexis, Inc.",3.23,116651450,n/a,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cdxs
CDE,Coeur d&#39;Alene Mines Corporation,16.47,1480422420,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/cde
CCIX,"Coleman Cable, Inc.",8.68,152368720,n/a,1993,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/ccix
CMC,Commercial Metals Company,12.59,1463197210,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/cmc
BVN,"Compania Mina Buenaventura, S.A.",36.65,5482290250,n/a,1996,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/bvn
