Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AONE,"A123 Systems, Inc.",0.4925,72330520,n/a,2009,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aone
AXAS,Abraxas Petroleum Corporation,2.575,237754900,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
AE,"Adams Resources & Energy, Inc.",42.32,178505760,n/a,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
AAV,Advantage Oil & Gas Ltd,3.7,615324800,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
ANW,Aegean Marine Petroleum Network Inc.,5.78,267203620,n/a,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
AHGP,"Alliance Holdings GP, L.P.",45.17,2704011710,n/a,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
ARLP,"Alliance Resource Partners, L.P.",58.82,2168987500,n/a,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp
ALJ,"Alon USA Energy, Inc.",11.01,618662910,n/a,2005,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/alj
ANR,"Alpha Natural Resources, inc.",7.015,1545250170,n/a,2005,Energy,Coal Mining,http://www.nasdaq.com/symbol/anr
ADGE,American DG Energy Inc.,2.05,95532050,n/a,n/a,Energy,Electric Utilities: Central,http://www.nasdaq.com/symbol/adge
AETI,"American Electric Technologies, Inc.",4.38,34658940,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti
APC,Anadarko Petroleum Corporation,71.41,35676436000,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apc
AMCF,Andatee China Marine Fuel Services Corporation,1.8701,17801481.9,n/a,2010,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/amcf
APA,Apache Corporation,87.57,34225245810,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apa
APAGF,Apco Oil and Gas International Inc.,17.32,158304800,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apagf
AREX,Approach Resources Inc.,26.7,894823800,n/a,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/arex
ARSD,Arabian American Development Company,9.73,234337320,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/arsd
ACI,"Arch Coal, Inc.",6.8,1443286400,n/a,1988,Energy,Coal Mining,http://www.nasdaq.com/symbol/aci
ARTX,Arotech Corporation,0.82,13070800,n/a,1994,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/artx
AT,Atlantic Power Corporation,13.69,1556292890,n/a,n/a,Energy,Electric Utilities: Central,http://www.nasdaq.com/symbol/at
ARP,"Atlas Resource Partners, L.P.",25.09,657358000,n/a,2005,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/arp
ATPG,ATP Oil & Gas Corporation,1.4,73024000,n/a,2001,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/atpg
ATW,"Atwood Oceanics, Inc.",44.6,2915100600,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/atw
BWC,Babcock & Wilcox Company (The),24.78,2939254920,n/a,1993,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bwc
BHI,Baker Hughes Incorporated,47.35,20761980650,n/a,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/bhi
BLDP,"Ballard Power Systems, Inc.",1.05,88778550,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bldp
BRN,"Barnwell Industries, Inc.",2.945,24375765,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn
