Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
EGHT,8x8 Inc,5.22,369100980,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
ACPW,"Active Power, Inc.",0.798,76014288,n/a,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw
ADTN,"ADTRAN, Inc.",20.98,1336761680,n/a,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
AEGN,Aegion Corp,18.46,724721140,n/a,2000,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/aegn
GAS,"AGL Resources, Inc.",40.58,4760439800,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/gas
ALP^N,Alabama Power Company,26.022,145957398,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^n
ALP^O,Alabama Power Company,27.5,41800000,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^o
ALSK,"Alaska Communications Systems Group, Inc.",2.18,99159480,n/a,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
ALU,Alcatel Lucent,1.03,782694940,n/a,1989,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alu
ALE,"Allete, Inc.",41.52,1581912000,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ale
LNT,Alliant Energy Corporation,46.94,5208556280,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/lnt
ALVR,Alvarion Ltd.,0.3675,22933102.5,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alvr
AMBT,Ambient Corporation,5.74,95324180,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ambt
AEE,Ameren Corporation,34.42,8351496700,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/aee
AMOV,"America Movil, S.A.B. de C.V.",27.05,331521148.3,12255865,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
AMX,"America Movil, S.A.B. de C.V.",27.06,22807764540,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amx
AEP,"American Electric Power Company, Inc.",42.42,20544939240,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aep
AEP^A,"American Electric Power Company, Inc.",27.5,346500000,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aep^a
AMID,"American Midstream Partners, LP",20.78,95213960,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/amid
AWR,American States Water Company,40.59,765486810,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/awr
AWK,American Water Works,36.63,6454792080,n/a,2008,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/awk
WTR,"Aqua America, Inc.",26.72,3716645120,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/wtr
