Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
FLWS,"1-800 FLOWERS.COM, Inc.",3.49,97475700,n/a,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCTY,"1st Century Bancshares, Inc",4.6,41528800,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty
FCCY,1st Constitution Bancorp (NJ),9.29,47341840,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,22.3,540998000,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
FUBC,"1st United Bancorp, Inc. (FL)",6.09,207394950,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fubc
TCHC,21st Century Holding Company,4.61,36635670,n/a,1998,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/tchc
VNET,"21Vianet Group, Inc.",10.1,304676600,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
SSRX,3SBio Inc.,11,242748000,n/a,2007,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ssrx
JOBS,"51job, Inc.",35.83,1031187400,n/a,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
EGHT,8x8 Inc,5.22,369100980,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",12.38,163106500,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",21.58,636998440,n/a,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AONE,"A123 Systems, Inc.",0.4925,72330520,n/a,2009,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aone
AAON,"AAON, Inc.",18.81,461785500,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
ASTM,"Aastrom Biosciences, Inc.",2,77512000,n/a,1997,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/astm
ABAX,"ABAXIS, Inc.",36.71,796239900,n/a,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABMD,"ABIOMED, Inc.",22.08,867147840,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,2.575,237754900,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACTG,Acacia Research Corporation,32.14,1597390140,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",16.4,528358800,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,1.6,84683200,n/a,1985,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACCL,"Accelrys, Inc.",8.29,460219350,n/a,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/accl
ANCX,Access National Corporation,13.93,142545690,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
