,Name,Ticker,Industry,Sector,Market Cap,Strike,Option Price,Exp. Date,Option Volume,Stock Price,Ex. Div Date,Num Divs.,Div/share,Div Inc,Gain/Loss Exercise,Total Income,Return,Annual Return
1,"21Vianet Group, Inc.",VNET,"Computer Software: Programming, Data Processing",Technology,634843329.55,7.5,4.5,12 - 2012,10.0,11.35,None,None,None,None,-3.85,0.65,0.057268722467,0.687224669604
2,"21Vianet Group, Inc.",VNET,"Computer Software: Programming, Data Processing",Technology,634843329.55,10.0,1.9,12 - 2012,8.0,11.35,None,None,None,None,-1.35,0.55,0.0484581497797,0.581497797357
3,"21Vianet Group, Inc.",VNET,"Computer Software: Programming, Data Processing",Technology,634843329.55,12.5,0.7,12 - 2012,10.0,11.35,None,None,None,None,1.15,0.7,0.0616740088106,0.740088105727
4,"21Vianet Group, Inc.",VNET,"Computer Software: Programming, Data Processing",Technology,634843329.55,15.0,0.05,12 - 2012,135.0,11.35,None,None,None,None,3.65,0.05,0.00440528634361,0.0528634361233
0,"21Vianet Group, Inc.",VNET,"Computer Software: Programming, Data Processing",Technology,634843329.55,5.0,4.8,3 - 2013,0.0,11.35,None,None,None,None,-6.35,-1.55,-0.136563876652,-0.409691629956
1,"21Vianet Group, Inc.",VNET,"Computer Software: Programming, Data Processing",Technology,634843329.55,10.0,3.2,3 - 2013,6.0,11.35,None,None,None,None,-1.35,1.85,0.162995594714,0.488986784141
2,"21Vianet Group, Inc.",VNET,"Computer Software: Programming, Data Processing",Technology,634843329.55,12.5,1.25,3 - 2013,40.0,11.35,None,None,None,None,1.15,1.25,0.11013215859,0.330396475771
3,"21Vianet Group, Inc.",VNET,"Computer Software: Programming, Data Processing",Technology,634843329.55,15.0,1.1,3 - 2013,11.0,11.35,None,None,None,None,3.65,1.1,0.0969162995595,0.290748898678
4,"21Vianet Group, Inc.",VNET,"Computer Software: Programming, Data Processing",Technology,634843329.55,17.5,0.6,3 - 2013,0.0,11.35,None,None,None,None,6.15,0.6,0.0528634361233,0.15859030837
1,3SBio Inc.,SSRX,Major Pharmaceuticals,Consumer Durables,296518619.75,10.0,3.5,3 - 2013,0.0,13.43,None,None,None,None,-3.43,0.07,0.00521221146687,0.0156366344006
2,3SBio Inc.,SSRX,Major Pharmaceuticals,Consumer Durables,296518619.75,12.5,1.7,3 - 2013,1.0,13.43,None,None,None,None,-0.93,0.77,0.0573343261355,0.172002978407
3,3SBio Inc.,SSRX,Major Pharmaceuticals,Consumer Durables,296518619.75,15.0,0.55,3 - 2013,0.0,13.43,None,None,None,None,1.57,0.55,0.0409530900968,0.12285927029
0,"51job, Inc.",JOBS,Diversified Commercial Services,Technology,1323124371.6,45.0,4.1,1 - 2013,0.0,45.94,None,None,None,None,-0.94,3.16,0.0687853722246,0.412712233348
1,"51job, Inc.",JOBS,Diversified Commercial Services,Technology,1323124371.6,50.0,2.0,1 - 2013,13.0,45.94,None,None,None,None,4.06,2.0,0.0435350457118,0.261210274271
2,"51job, Inc.",JOBS,Diversified Commercial Services,Technology,1323124371.6,55.0,1.8,1 - 2013,10.0,45.94,None,None,None,None,9.06,1.8,0.0391815411406,0.235089246844
0,8x8 Inc,EGHT,Telecommunications Equipment,Public Utilities,459556067.31,2.5,3.5,2 - 2013,18.0,6.43,None,None,None,None,-3.93,-0.43,-0.0668740279938,-0.267496111975
1,8x8 Inc,EGHT,Telecommunications Equipment,Public Utilities,459556067.31,5.0,1.7,2 - 2013,3.0,6.43,None,None,None,None,-1.43,0.27,0.0419906687403,0.167962674961
2,8x8 Inc,EGHT,Telecommunications Equipment,Public Utilities,459556067.31,7.5,0.43,2 - 2013,20.0,6.43,None,None,None,None,1.07,0.43,0.0668740279938,0.267496111975
0,"A V Homes, Inc.",AVHI,Homebuilding,Capital Goods,188829875.0,10.0,4.6,1 - 2013,0.0,14.5,None,None,None,None,-4.5,0.1,0.00689655172414,0.0413793103448
1,"A V Homes, Inc.",AVHI,Homebuilding,Capital Goods,188829875.0,12.5,1.9,1 - 2013,0.0,14.5,None,None,None,None,-2.0,-0.1,-0.00689655172414,-0.0413793103448
2,"A V Homes, Inc.",AVHI,Homebuilding,Capital Goods,188829875.0,15.0,1.45,1 - 2013,0.0,14.5,None,None,None,None,0.5,1.45,0.1,0.6
0,"A. Schulman, Inc.",SHLM,Major Chemicals,Basic Industries,738011481.24,25.0,2.2,4 - 2013,0.0,25.19,10 - 25,2.0,0.00745,0.0149,-0.19,2.0249,0.0803850734418,0.19292417626
1,"A. Schulman, Inc.",SHLM,Major Chemicals,Basic Industries,738011481.24,30.0,0.75,4 - 2013,0.0,25.19,10 - 25,2.0,0.00745,0.0149,4.81,0.7649,0.0303652242954,0.0728765383089
0,"A123 Systems, Inc.",AONE,Industrial Machinery/Components,Energy,42553835.0384,1.0,0.05,1 - 2013,22.0,0.1288,None,None,None,None,0.8712,0.05,0.388198757764,2.32919254658
1,"A123 Systems, Inc.",AONE,Industrial Machinery/Components,Energy,42553835.0384,1.5,0.05,1 - 2013,1.0,0.1288,None,None,None,None,1.3712,0.05,0.388198757764,2.32919254658
2,"A123 Systems, Inc.",AONE,Industrial Machinery/Components,Energy,42553835.0384,2.5,0.05,1 - 2013,10.0,0.1288,None,None,None,None,2.3712,0.05,0.388198757764,2.32919254658
0,"A123 Systems, Inc.",AONE,Industrial Machinery/Components,Energy,42553835.0384,1.0,0.05,3 - 2013,10.0,0.1288,None,None,None,None,0.8712,0.05,0.388198757764,1.16459627329
0,"Aastrom Biosciences, Inc.",ASTM,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,63031684.48,2.5,0.1,2 - 2013,127.0,1.48,None,None,None,None,1.02,0.1,0.0675675675676,0.27027027027
0,"ABAXIS, Inc.",ABAX,Industrial Machinery/Components,Capital Goods,814783570.45,35.0,4.23,2 - 2013,2.0,37.15,None,None,None,None,-2.15,2.08,0.0559892328398,0.223956931359
1,"ABAXIS, Inc.",ABAX,Industrial Machinery/Components,Capital Goods,814783570.45,40.0,2.5,2 - 2013,0.0,37.15,None,None,None,None,2.85,2.5,0.0672947510094,0.269179004038
2,"ABAXIS, Inc.",ABAX,Industrial Machinery/Components,Capital Goods,814783570.45,45.0,0.65,2 - 2013,4.0,37.15,None,None,None,None,7.85,0.65,0.0174966352624,0.0699865410498
0,"ABIOMED, Inc.",ABMD,Medical/Dental Instruments,Health Care,547854296.22,10.0,5.4,3 - 2013,20.0,13.86,None,None,None,None,-3.86,1.54,0.111111111111,0.333333333333
1,"ABIOMED, Inc.",ABMD,Medical/Dental Instruments,Health Care,547854296.22,12.5,3.3,3 - 2013,10.0,13.86,None,None,None,None,-1.36,1.94,0.139971139971,0.419913419913
2,"ABIOMED, Inc.",ABMD,Medical/Dental Instruments,Health Care,547854296.22,15.0,1.95,3 - 2013,31.0,13.86,None,None,None,None,1.14,1.95,0.140692640693,0.422077922078
3,"ABIOMED, Inc.",ABMD,Medical/Dental Instruments,Health Care,547854296.22,17.5,1.0,3 - 2013,3.0,13.86,None,None,None,None,3.64,1.0,0.0721500721501,0.21645021645
4,"ABIOMED, Inc.",ABMD,Medical/Dental Instruments,Health Care,547854296.22,20.0,0.55,3 - 2013,37.0,13.86,None,None,None,None,6.14,0.55,0.0396825396825,0.119047619048
0,Abraxas Petroleum Corporation,AXAS,Oil & Gas Production,Energy,186516815.14,2.5,0.2,3 - 2013,55.0,2.02,None,None,None,None,0.48,0.2,0.0990099009901,0.29702970297
1,Abraxas Petroleum Corporation,AXAS,Oil & Gas Production,Energy,186516815.14,5.0,0.05,3 - 2013,27.0,2.02,None,None,None,None,2.98,0.05,0.0247524752475,0.0742574257426
0,Acacia Research Corporation,ACTG,Multi-Sector Companies,Miscellaneous,1241862789.34,20.0,5.2,2 - 2013,22.0,24.98,None,None,None,None,-4.98,0.22,0.00880704563651,0.035228182546
1,Acacia Research Corporation,ACTG,Multi-Sector Companies,Miscellaneous,1241862789.34,22.5,5.4,2 - 2013,0.0,24.98,None,None,None,None,-2.48,2.92,0.116893514812,0.467574059247
2,Acacia Research Corporation,ACTG,Multi-Sector Companies,Miscellaneous,1241862789.34,25.0,3.7,2 - 2013,2.0,24.98,None,None,None,None,0.02,3.7,0.148118494796,0.592473979183
3,Acacia Research Corporation,ACTG,Multi-Sector Companies,Miscellaneous,1241862789.34,27.5,2.25,2 - 2013,30.0,24.98,None,None,None,None,2.52,2.25,0.0900720576461,0.360288230584
4,Acacia Research Corporation,ACTG,Multi-Sector Companies,Miscellaneous,1241862789.34,30.0,1.85,2 - 2013,8.0,24.98,None,None,None,None,5.02,1.85,0.0740592473979,0.296236989592
0,Acacia Research Corporation,ACTG,Multi-Sector Companies,Miscellaneous,1241862789.34,22.5,6.2,5 - 2013,50.0,24.98,None,None,None,None,-2.48,3.72,0.148919135308,0.297838270616
1,Acacia Research Corporation,ACTG,Multi-Sector Companies,Miscellaneous,1241862789.34,25.0,4.1,5 - 2013,37.0,24.98,None,None,None,None,0.02,4.1,0.164131305044,0.328262610088
2,Acacia Research Corporation,ACTG,Multi-Sector Companies,Miscellaneous,1241862789.34,27.5,4.1,5 - 2013,10.0,24.98,None,None,None,None,2.52,4.1,0.164131305044,0.328262610088
3,Acacia Research Corporation,ACTG,Multi-Sector Companies,Miscellaneous,1241862789.34,30.0,3.3,5 - 2013,300.0,24.98,None,None,None,None,5.02,3.3,0.132105684548,0.264211369095
0,"Acadia Healthcare Company, Inc.",ACHC,Medical Specialities,Health Care,842680298.88,20.0,2.0,3 - 2013,3.0,20.16,None,None,None,None,-0.16,1.84,0.0912698412698,0.27380952381
1,"Acadia Healthcare Company, Inc.",ACHC,Medical Specialities,Health Care,842680298.88,22.5,1.15,3 - 2013,10.0,20.16,None,None,None,None,2.34,1.15,0.0570436507937,0.171130952381
2,"Acadia Healthcare Company, Inc.",ACHC,Medical Specialities,Health Care,842680298.88,25.0,1.15,3 - 2013,1.0,20.16,None,None,None,None,4.84,1.15,0.0570436507937,0.171130952381
0,ACADIA Pharmaceuticals Inc.,ACAD,Major Pharmaceuticals,Consumer Durables,115605419.62,2.5,0.95,3 - 2013,60.0,2.18,None,None,None,None,0.32,0.95,0.435779816514,1.30733944954
1,ACADIA Pharmaceuticals Inc.,ACAD,Major Pharmaceuticals,Consumer Durables,115605419.62,5.0,0.4,3 - 2013,25.0,2.18,None,None,None,None,2.82,0.4,0.183486238532,0.550458715596
2,ACADIA Pharmaceuticals Inc.,ACAD,Major Pharmaceuticals,Consumer Durables,115605419.62,7.5,0.2,3 - 2013,30.0,2.18,None,None,None,None,5.32,0.2,0.0917431192661,0.275229357798
