,Name,MarketCap,Sector,industry,ExDivDate,StockPrice,DivYield,DivShare,Volatility,Expiry,OptionPrice,Open Int,Strike,Vol,NumDivs,DivIncome,GLExercise,TotalIncome,Return,AnnRet
AA,Alcoa Inc.,9636833635.59,Capital Goods,Metal Fabrications,10-31-2012,9.03,0.12,0.0903,24.1501748203,02-16-13,1.04,"2,690",8,36,1,0.0903,-1.03,0.1003,0.0111074197,0.1332890365
AA,Alcoa Inc.,9636833635.59,Capital Goods,Metal Fabrications,10-31-2012,9.03,0.12,0.0903,24.1501748203,02-16-13,0.15,"16,429",9,"1,961",1,0.0903,-0.03,0.2103,0.0232890365,0.2794684385
AA,Alcoa Inc.,9636833635.59,Capital Goods,Metal Fabrications,10-31-2012,9.03,0.12,0.0903,24.1501748203,02-16-13,0.01,"12,097",10,"1,218",1,0.0903,0.97,0.1003,0.0111074197,0.1332890365
AA,Alcoa Inc.,9636833635.59,Capital Goods,Metal Fabrications,10-31-2012,9.03,0.12,0.0903,24.1501748203,02-16-13,0.01,847,11,1,1,0.0903,1.97,0.1003,0.0111074197,0.1332890365
AA,Alcoa Inc.,9636833635.59,Capital Goods,Metal Fabrications,10-31-2012,9.03,0.12,0.0903,24.1501748203,02-16-13,1.04,"2,690",8,36,1,0.0903,-1.03,0.1003,0.0111074197,0.1332890365
AA,Alcoa Inc.,9636833635.59,Capital Goods,Metal Fabrications,10-31-2012,9.03,0.12,0.0903,24.1501748203,02-16-13,0.15,"16,429",9,"1,961",1,0.0903,-0.03,0.2103,0.0232890365,0.2794684385
AA,Alcoa Inc.,9636833635.59,Capital Goods,Metal Fabrications,10-31-2012,9.03,0.12,0.0903,24.1501748203,02-16-13,0.01,"12,097",10,"1,218",1,0.0903,0.97,0.1003,0.0111074197,0.1332890365
AA,Alcoa Inc.,9636833635.59,Capital Goods,Metal Fabrications,10-31-2012,9.03,0.12,0.0903,24.1501748203,02-16-13,0.01,847,11,1,1,0.0903,1.97,0.1003,0.0111074197,0.1332890365
AA,Alcoa Inc.,9636833635.59,Capital Goods,Metal Fabrications,10-31-2012,9.03,0.12,0.0903,24.1501748203,03-16-13,1.06,41,8,27,1,0.0903,-1.03,0.1203,0.0133222591,0.0799335548
AA,Alcoa Inc.,9636833635.59,Capital Goods,Metal Fabrications,10-31-2012,9.03,0.12,0.0903,24.1501748203,03-16-13,0.26,"4,084",9,306,1,0.0903,-0.03,0.3203,0.0354706534,0.2128239203
AA,Alcoa Inc.,9636833635.59,Capital Goods,Metal Fabrications,10-31-2012,9.03,0.12,0.0903,24.1501748203,03-16-13,0.03,"3,693",10,"1,685",1,0.0903,0.97,0.1203,0.0133222591,0.0799335548
AA,Alcoa Inc.,9636833635.59,Capital Goods,Metal Fabrications,10-31-2012,9.03,0.12,0.0903,24.1501748203,04-20-13,1.1,"5,657",8,209,2,0.1806,-1.03,0.2506,0.027751938,0.1110077519
AA,Alcoa Inc.,9636833635.59,Capital Goods,Metal Fabrications,10-31-2012,9.03,0.12,0.0903,24.1501748203,04-20-13,0.4,"17,161",9,586,2,0.1806,-0.03,0.5506,0.0609745293,0.2438981174
AA,Alcoa Inc.,9636833635.59,Capital Goods,Metal Fabrications,10-31-2012,9.03,0.12,0.0903,24.1501748203,04-20-13,0.09,"22,506",10,"2,972",2,0.1806,0.97,0.2706,0.0299667774,0.1198671096
