Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,37.57,1920428120,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,91.71,63635001120,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
SVN,7 Days Group Holdings Limited,8.3,153973300,n/a,2009,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/svn
AHC,A.H. Belo Corporation,4.11,79902510,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
AIR,AAR Corp.,14.24,571978080,n/a,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",30.36,2308726200,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,17.52,3266761680,n/a,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,66.39,1.04457E+11,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ANF,Abercrombie & Fitch Company,36.75,3117943500,n/a,1996,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
ABM,ABM Industries Incorporated,18.89,1014978590,n/a,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,23.55,1033468200,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
ACN,Accenture plc.,60.43,38361024430,n/a,1986,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
ACMP,"Access Midstream Partmers, L.P.",28.74,2267614740,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acmp
ACCO,Acco Brands Corporation,8.67,979562610,n/a,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
AH,"Accretive Health, Inc.",10.43,1036262220,n/a,2010,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ah
ACW,Accuride Corporation New,5.33,252247580,n/a,2005,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/acw
ACE,Ace Limited,73.56,24914183520,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ace
ATV,"Acorn International, Inc.",3.18,50447520,n/a,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv
ATU,Actuant Corporation,27.99,2039071500,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,60.16,2547776000,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
ADX,Adams Express Company (The),10.85,988152900,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx
AGRO,Adecoagro S.A.,10.1,1217363100,n/a,1994,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro
PVD,"Administradora de Fondos de Pensiones-Provida, S.A.",87.2,455532800,n/a,1994,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pvd
AAP,Advance Auto Parts Inc,69.61,5117309540,n/a,1993,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap
AMD,"Advanced Micro Devices, Inc.",4.09,2868517410,n/a,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
ASX,"Advanced Semiconductor Engineering, Inc.",3.79,369809250,n/a,1996,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
AAV,Advantage Oil & Gas Ltd,3.7,615324800,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
ATE,Advantest Corporation (Kabushiki Kaisha Advantest) ADS,12.65,9133300,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ate
AVK,Advent Claymore Convertible Securities and Income Fund,15.83,373287230,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk
AGC,Advent Claymore Convertible Securities and Income Fund II,6.53,210533730,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc
LCM,Advent/Claymore Enhanced Growth & Income Fund,9.46,180194080,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm
