,Name,Ticker,Industry,Sector,Market Cap,Strike,Option Price,Exp. Date,Option Volume,Stock Price,Ex. Div Date,Num Divs.,Div/share,Div Inc,Gain/Loss Exercise,Total Income,Return,Annual Return
1,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,2426482620.96,35.0,7.65,12 - 2012,2.0,42.54,None,None,None,None,-7.54,0.11,0.0025858015985,0.0310296191819
2,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,2426482620.96,40.0,4.1,12 - 2012,78.0,42.54,None,None,None,None,-2.54,1.56,0.0366713681241,0.440056417489
3,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,2426482620.96,45.0,1.65,12 - 2012,200.0,42.54,None,None,None,None,2.46,1.65,0.0387870239774,0.465444287729
4,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,2426482620.96,50.0,0.6,12 - 2012,137.0,42.54,None,None,None,None,7.46,0.6,0.0141043723554,0.169252468265
5,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,2426482620.96,55.0,0.3,12 - 2012,64.0,42.54,None,None,None,None,12.46,0.3,0.00705218617772,0.0846262341326
5,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,2426482620.96,35.0,8.1,2 - 2013,48.0,42.54,None,None,None,None,-7.54,0.56,0.0131640808651,0.0526563234603
6,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,2426482620.96,40.0,4.83,2 - 2013,180.0,42.54,None,None,None,None,-2.54,2.29,0.0538316878232,0.215326751293
7,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,2426482620.96,45.0,2.65,2 - 2013,181.0,42.54,None,None,None,None,2.46,2.65,0.0622943112365,0.249177244946
8,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,2426482620.96,50.0,1.5,2 - 2013,130.0,42.54,None,None,None,None,7.46,1.5,0.0352609308886,0.141043723554
9,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,2426482620.96,55.0,0.8,2 - 2013,7.0,42.54,None,None,None,None,12.46,0.8,0.0188058298072,0.075223319229
4,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,2426482620.96,35.0,11.7,5 - 2013,1.0,42.54,None,None,None,None,-7.54,4.16,0.0977903149976,0.195580629995
5,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,2426482620.96,40.0,7.2,5 - 2013,21.0,42.54,None,None,None,None,-2.54,4.66,0.109543958627,0.219087917254
6,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,2426482620.96,45.0,4.07,5 - 2013,116.0,42.54,None,None,None,None,2.46,4.07,0.0956746591443,0.191349318289
7,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,2426482620.96,50.0,2.7,5 - 2013,35.0,42.54,None,None,None,None,7.46,2.7,0.0634696755994,0.126939351199
8,3D Systems Corporation,DDD,Computer Software: Prepackaged Software,Technology,2426482620.96,55.0,2.25,5 - 2013,2.0,42.54,None,None,None,None,12.46,2.25,0.0528913963329,0.105782792666
12,3M Company,MMM,Medical/Dental Instruments,Health Care,61506692623.1,85.0,5.05,1 - 2013,56.0,88.97,8 - 22,1.0,0.0232,0.0232,-3.97,1.1032,0.0123996852872,0.0743981117231
13,3M Company,MMM,Medical/Dental Instruments,Health Care,61506692623.1,87.5,3.65,1 - 2013,2.0,88.97,8 - 22,1.0,0.0232,0.0232,-1.47,2.2032,0.0247634033944,0.148580420366
14,3M Company,MMM,Medical/Dental Instruments,Health Care,61506692623.1,90.0,2.0,1 - 2013,89.0,88.97,8 - 22,1.0,0.0232,0.0232,1.03,2.0232,0.0227402495223,0.136441497134
